feature,importance_mean,importance_std
LIVINGAPARTMENTS_AVG,1683.4716911315918,376.82594462743714
NAME_CONTRACT_TYPE,1673.256607055664,789.408837574113
WALLSMATERIAL_MODE,1601.1337409973144,559.4723174549327
AMT_REQ_CREDIT_BUREAU_YEAR,1599.7498764038087,787.3779936061352
ENTRANCES_AVG,1592.582773590088,508.7637396837112
INST_PAYMENT_RATIO_MAX,1542.7315437316895,540.7021232710348
YEARS_BUILD_AVG,1488.3805961608887,594.075464256288
INST_PAYMENT_DIFF_MAX,1483.7296577453612,467.0347426348617
OBS_30_CNT_SOCIAL_CIRCLE,1452.0686012268065,490.05089621092253
BASEMENTAREA_MEDI,1434.920615386963,318.0238192352202
PREV_SK_ID_PREV_COUNT,1403.648146057129,854.3994033470848
CNT_FAM_MEMBERS,1318.055037689209,621.214436342414
OBS_60_CNT_SOCIAL_CIRCLE,1224.1610874176026,404.37320543624264
LIVINGAPARTMENTS_MEDI,1222.4864181518556,407.60045243092566
AMT_REQ_CREDIT_BUREAU_MON,1219.1091377258301,321.2566335477829
YEARS_BUILD_MEDI,1134.857904815674,278.8729601281054
REGION_RATING_CLIENT,1130.005760192871,263.2289978947772
NAME_TYPE_SUITE,1092.1714393615723,627.792948557114
FLOORSMIN_AVG,1075.5897254943848,315.8307946279859
NONLIVINGAPARTMENTS_AVG,1023.9384773254394,154.2669572763526
NAME_HOUSING_TYPE,1016.0456581115723,322.93155695753734
FLOORSMAX_MEDI,852.4145263671875,289.8440429833129
NONLIVINGAPARTMENTS_MEDI,774.8079586029053,434.57070347946956
FLOORSMAX_MODE,749.5541839599609,199.13047529482742
NONLIVINGAPARTMENTS_MODE,718.6962043762207,209.0840815608472
ENTRANCES_MEDI,714.8785606384278,201.0851847486825
FLOORSMIN_MODE,571.7714401245117,107.88946449173149
ELEVATORS_AVG,546.3834999084472,212.85223382650884
CONTACT_COUNT,532.2447143554688,193.40689226177116
FLOORSMIN_MEDI,516.2695816040039,202.5447715440799
FONDKAPREMONT_MODE,486.9853790283203,249.78761648520367
ENTRANCES_MODE,484.65918045043946,192.43226456647986
CNT_CHILDREN,472.57999954223635,101.0291886740769
HAS_WORK_PHONE,433.637638092041,133.8468364052415
FLAG_DOCUMENT_18,427.548397064209,161.7092937619383
BUREAU_CNT_CREDIT_PROLONG_SUM,415.5951431274414,155.26850114836006
ELEVATORS_MODE,408.3059997558594,159.22506736047887
AMT_REQ_CREDIT_BUREAU_WEEK,391.11989974975586,156.86847080491356
ELEVATORS_MEDI,385.3171813964844,308.7300601799094
FLAG_OWN_REALTY,271.3563598632812,189.6532406478058
FLAG_DOCUMENT_8,270.73940048217776,129.3495962434865
FLAG_DOCUMENT_13,269.9080986022949,184.82272919810652
BUREAU_CREDIT_DAY_OVERDUE_MAX,267.41024017333984,26.05691130841819
FLAG_EMAIL,265.7113983154297,87.44319051383599
EMERGENCYSTATE_MODE,258.8748374938965,147.39790591089167
REG_CITY_NOT_WORK_CITY,251.70456085205078,135.20149684065603
BUREAU_CREDIT_DAY_OVERDUE_MEAN,246.91824188232422,79.41630623501419
FLAG_PHONE,238.59068222045897,145.21339425398327
REGION_RATING_DIFF,225.10048065185546,116.61488600173527
FLAG_DOCUMENT_6,205.75489807128906,87.93758715465506
REG_REGION_NOT_WORK_REGION,157.79955978393554,116.58080389667127
LIVE_CITY_NOT_WORK_CITY,146.7148006439209,162.8797680268621
HAS_PHONE,141.3191177368164,87.74572836942734
HOUSETYPE_MODE,134.83358001708984,46.14571521159859
FLAG_DOCUMENT_11,114.70979919433594,117.13824214537195
LIVE_REGION_NOT_WORK_REGION,102.17561874389648,129.94315845457228
REG_REGION_NOT_LIVE_REGION,92.72330017089844,32.58984848040775
FLAG_DOCUMENT_5,88.2718002319336,67.86944699842208
FLAG_DOCUMENT_16,84.46582107543945,73.39515981020976
FLAG_DOCUMENT_14,71.6783203125,98.49864044642969
HAS_EMAIL,53.111280822753905,79.79379780697035
FLAG_EMP_PHONE,52.047220611572264,72.47077212685542
AMT_REQ_CREDIT_BUREAU_HOUR,26.835579681396485,37.123712097081324
AMT_REQ_CREDIT_BUREAU_DAY,24.024120330810547,33.69876830355863
FLAG_DOCUMENT_19,18.809019470214842,42.05824612551747
FLAG_DOCUMENT_15,12.725020217895509,28.454010222273542
FLAG_DOCUMENT_7,0.0,0.0
FLAG_DOCUMENT_17,0.0,0.0
FLAG_DOCUMENT_12,0.0,0.0
FLAG_DOCUMENT_10,0.0,0.0
FLAG_CONT_MOBILE,0.0,0.0
FLAG_DOCUMENT_4,0.0,0.0
FLAG_DOCUMENT_20,0.0,0.0
FLAG_DOCUMENT_21,0.0,0.0
FLAG_DOCUMENT_2,0.0,0.0
FLAG_DOCUMENT_9,0.0,0.0
HAS_MOBILE,0.0,0.0
FLAG_MOBIL,0.0,0.0
